id,original_title,genres
55731,Race the Sun,Action Adventure Comedy Drama Family
32119,The Boys of St. Vincent,Drama
11066,Boomerang,Comedy Romance
11104,重慶森林,Drama Comedy Romance
37975,L'uomo delle stelle,Drama Romance
2074,Flirting with Disaster,Comedy Romance
27793,The NeverEnding Story III,Fantasy
44284,صمت القصور,Drama
290157,Jupiter's Wife,
110972,Pie in the Sky,Comedy Romance
32622,Angela,Comedy Drama
73067,Frankie Starlight,Drama Romance War
11863,Jade,Action Thriller Mystery Romance
55475,Nueba Yol,Comedy Drama Romance
124636,Sonic Outlaws,Music Documentary
9101,Down Periscope,Comedy
123360,From the Journals of Jean Seberg,Documentary
5757,Man of the Year,Comedy
39428,The Neon Bible,Drama
124639,Target,
9302,Up Close & Personal,Drama Romance
11000,The Birdcage,Comedy
249882,Gospa,Drama
16388,The Brothers McMullen,Comedy Drama Romance
9737,Bad Boys,Action Comedy Crime Thriller
30765,The Amazing Panda Adventure,Action Adventure Drama Family
10474,The Basketball Diaries,Drama Crime
22279,An Awfully Big Adventure,Romance Drama Comedy
30157,Amateur,Crime Comedy Drama Thriller
568,Apollo 13,Drama
11780,Rob Roy,Adventure
34996,The Addiction,Drama Horror
414,Batman Forever,Action Crime Fantasy
649,Belle de jour,Drama Romance
1873,Beyond Rangoon,Drama Thriller
5894,Blue in the Face,Comedy
1775,Canadian Bacon,Action Comedy
8839,Casper,Fantasy Comedy Family
20649,Clockers,Mystery Crime Drama
10329,Congo,Action Adventure Drama Mystery Thriller
8963,Crimson Tide,Action Thriller Drama
26564,Crumb,Documentary
8068,Desperado,Thriller Action Crime
8512,Devil in a Blue Dress,Drama Mystery Thriller
1572,Die Hard: With a Vengeance,Action Thriller
13552,The Doom Generation,Action Comedy Crime Drama
259209,Feast of July,Drama Crime
6520,First Knight,Action Adventure Drama Romance
9073,Free Willy 2 - The Adventure Home,Adventure
10428,Hackers,Action Crime Thriller Drama
17447,Jeffrey,Comedy Drama Romance
9886,Johnny Mnemonic,Adventure Action Drama Thriller
9482,Judge Dredd,
19326,Jury Duty,Comedy Drama
9344,Kids,Drama Crime
9071,Living in Oblivion,Drama Comedy
8973,Lord of Illusions,Mystery Horror Thriller
15730,Love & Human Remains,Comedy Drama
47608,Mad Love,Drama Family Romance
2293,Mallrats,Romance Comedy
9070,Mighty Morphin Power Rangers: The Movie,Action Adventure Family Fantasy
68274,Moonlight and Valentino,Comedy Drama Romance
48787,Mute Witness,Thriller Foreign
34574,Nadja,Horror Thriller
1642,The Net,Crime Drama Mystery Thriller Action
11472,Nine Months,Comedy
36196,Party Girl,Comedy
11980,The Prophecy,Fantasy Horror Thriller
58372,Reckless,Fantasy Comedy Drama
32646,Safe,Drama
10533,The Scarlet Letter,Drama History Romance
56088,The Show,Documentary
10802,Showgirls,Drama
10149,Smoke,Comedy Drama
18402,Something to Talk About,Comedy
9348,Species,Horror Action
139408,The Stars Fell on Henrietta,Drama
281,Strange Days,Crime Drama Thriller
5967,Les parapluies de Cherbourg,Drama Romance
79593,The Tie That Binds,Thriller
47939,Three Wishes,Drama Fantasy
36834,Total Eclipse,Drama Romance
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
3512,Under Siege 2: Dark Territory,Action Thriller
52856,Unstrung Heroes,Comedy Drama Family
77350,Unzipped,Documentary
9560,A Walk in the Clouds,Drama Romance
9804,Waterworld,Adventure Action
31611,White Man's Burden,Drama
65796,Wild Bill,Action Western
49805,The Browning Version,Drama
26258,Bushwhacked,Adventure Action Comedy Crime Family
50797,Утомлённые солнцем,Drama
19155,Before the Rain,Drama War
76,Before Sunrise,Drama Romance
11017,Billy Madison,Comedy
37141,The Babysitter,Drama Thriller
9382,Boys on the Side,Comedy Drama
6715,The Cure,Drama Family
18256,Castle Freak,Thriller Drama Horror Mystery
22625,Circle of Friends,Drama Family Romance
2292,Clerks,Comedy
1909,Don Juan DeMarco,Romance Drama Comedy
8984,Disclosure,Drama Thriller Crime Mystery Romance
61813,Dream Man,Thriller
4954,Drop Zone,Action Adventure Thriller
62488,Destiny Turns on the Radio,Crime Comedy Fantasy
10531,Death and the Maiden,Drama Thriller Mystery
11929,Dolores Claiborne,Crime Drama Mystery
8467,Dumb and Dumber,Comedy
10451,飲食男女,Comedy Drama Romance
20156,Exotica,Drama Mystery
18395,Exit to Eden,Thriller Comedy Crime Romance
522,Ed Wood,Comedy Drama History
397,French Kiss,Comedy Romance
10525,Forget Paris,Comedy Drama Romance
27985,Far from Home: The Adventures of Yellow Dog,Action Adventure Drama Family
15789,A Goofy Movie,Romance Animation Family Comedy Adventure
27303,Hideaway,Drama Thriller
21183,Fluke,Drama Family Fantasy
10954,Farinelli,History Drama
47867,Gordy,Drama Family Fantasy
43475,Gumby: The Movie,Fantasy Animation Family
72031,The Glass Shield,Drama Action Thriller Crime
14275,Hoop Dreams,Documentary
1024,Heavenly Creatures,Drama Fantasy
17207,Houseguest,Comedy Family
13701,Immortal Beloved,Drama Music Romance
14819,Heavyweights,Comedy Family Drama
32631,The Hunted,Action Thriller
11777,I.Q.,Comedy Drama Romance
628,Interview with the Vampire,Horror Romance
87729,Jefferson in Paris,Drama Romance
18713,The Jerky Boys,Comedy Crime
6280,Junior,Comedy Family Romance
9061,Just Cause,Action Drama Mystery Thriller
37108,A Kid in King Arthur's Court,Adventure Fantasy Comedy Family
6071,Kiss of Death,Action Crime Drama Thriller
11,Star Wars,Adventure Action
9587,Little Women,Drama Romance
19101,A Little Princess,Drama Family Fantasy
49980,Ladybird Ladybird,Drama
17961,L'Enfer,Crime Drama
18183,Como agua para chocolate,Drama Romance
4476,Legends of the Fall,Adventure Drama Romance War
11008,Major Payne,Adventure Comedy Family
47504,Little Odessa,Action Drama
32325,Mi Vida Loca,Crime Drama
43742,Love Affair,Drama Romance
28313,Losing Isaiah,Drama
11318,The Madness of King George,Comedy Drama History
3036,Frankenstein,Drama Horror Romance
40490,Man of the House,Action Comedy Family
24070,Mixed Nuts,Comedy Drama Romance
8986,Milk Money,Comedy Romance
10510,Miracle on 34th Street,Fantasy Drama Family
17402,Miami Rhapsody,Comedy Romance
38722,My Family,Comedy Drama
8438,Murder in the First,Crime Drama
11593,Nobody's Fool,Drama Comedy
1945,Nell,Drama Thriller
39310,New Jersey Drive,Crime Drama
109560,New York Cop,Action Thriller Crime Drama
56428,Beyond Bedlam,Horror
63105,Nemesis 2 - Nebula,Action Thriller
131957,Nina Takes a Lover,Drama Romance
241,Natural Born Killers,Crime Thriller Drama
9058,Only You,Comedy Drama Romance
527,Once Were Warriors,Drama
18220,Poison Ivy II: Lily,Drama Romance Thriller
6950,Outbreak,Action Drama Thriller
101,Léon,Thriller Crime Drama
63020,The Perez Family,Comedy Drama Romance
2307,A Pyromaniac's Love Story,Comedy Drama Romance
680,Pulp Fiction,Thriller Crime
41478,Panther,Drama
25296,Pushing Hands,Comedy Drama
40156,Priest,Drama Romance
11450,Quiz Show,History Drama
30304,Picture Bride,Drama History
10452,La Reine Margot,Drama History
12106,The Quick and the Dead,Action Western
161495,Roommates,Drama Comedy
3586,Prêt-à-Porter,Drama Comedy
110,Trois couleurs : Rouge,Drama Mystery Romance
108,Trois couleurs : Bleu,Drama Music Mystery
109,Trois couleurs : Blanc,Comedy Drama Mystery
159185,Pao Da Shuang Deng,Drama
36357,Rent-a-Kid,Comedy Family
92769,Relative Fear,Horror Drama
28033,Stuart Saves His Family,Comedy Drama
22586,The Swan Princess,Animation
14334,The Secret of Roan Inish,Drama Family Fantasy
2636,The Specialist,Action Thriller
2164,Stargate,Action Adventure
11395,The Santa Clause,Fantasy Drama Comedy Family
278,The Shawshank Redemption,Drama Crime
9905,Shallow Grave,Crime Thriller
87078,Suture,Drama Thriller
12527,Fresa y chocolate,Comedy Drama
20306,Swimming with Sharks,Crime Comedy
36614,The Sum of Us,Comedy Drama Romance
27993,Senior Trip,Comedy
31439,活着,Drama Romance War
9067,Tank Girl,Action Comedy Fantasy
9059,Tales from the Crypt: Demon Knight,Horror Comedy Thriller
193,Star Trek: Generations,Action Adventure Thriller
25066,Tales from the Hood,Crime Horror Thriller
46797,Tom & Viv,Drama Romance
12122,Village of the Damned,Thriller Horror
11381,Tommy Boy,Comedy
32636,Vanya on 42nd Street,Drama Romance
36141,The Underneath,Thriller Crime
95963,The Walking Dead,Drama War
1587,What's Eating Gilbert Grape,Romance Drama
9271,Virtuosity,Action Crime Thriller
2064,While You Were Sleeping,Comedy Drama Romance
19855,The War,Drama
60855,Double Happiness,Comedy Romance
236,Muriel's Wedding,Drama Comedy Romance
48287,The Baby-Sitters Club,Comedy Drama Family
3049,Ace Ventura: Pet Detective,Comedy Mystery
2759,"The Adventures of Priscilla, Queen of the Desert",Drama Comedy
12635,Backbeat,Drama Music
10497,Bitter Moon,Thriller Drama Romance
11382,Bullets Over Broadway,Action Comedy Thriller
9331,Clear and Present Danger,Action Drama Thriller
10731,The Client,Drama Thriller Crime Mystery
10464,"Corrina, Corrina",Comedy Drama Family Romance
34152,Crooklyn,Comedy Drama
9495,The Crow,Fantasy Action Thriller
29973,Cobb,Drama
888,The Flintstones,Fantasy Comedy Family
13,Forrest Gump,Comedy Drama Romance
712,Four Weddings and a Funeral,Comedy Drama Romance
16295,Higher Learning,Romance Drama Crime
48992,I Like It Like That,Comedy Drama Romance
10879,I Love Trouble,Action Comedy Romance
10660,It Could Happen to You,Comedy Drama Romance
10714,The Jungle Book,Adventure Drama Family
41647,Die Macht der Bilder: Leni Riefenstahl,Documentary Foreign
8587,The Lion King,Family Animation Drama
1689,Little Buddha,Drama History
11596,New Nightmare,Horror Thriller Mystery Fantasy
854,The Mask,Romance Comedy Crime Fantasy
9359,Maverick,Action Adventure Comedy Drama Western
23333,Mrs. Parker and the Vicious Circle,Drama
36593,The Naked Gun 33⅓: The Final Insult,Comedy Crime
12280,The Paper,Comedy Drama
2788,Reality Bites,Drama
10427,Red Rock West,Crime Drama Thriller
11011,Ri¢hie Ri¢h,Comedy Family
49803,Safe Passage,Drama
8987,The River Wild,Action Adventure Crime Thriller
1637,Speed,Action Adventure Crime
15128,Speechless,Comedy Romance
8831,Timecop,Thriller Action Crime
36955,True Lies,Action Thriller
10449,When a Man Loves a Woman,Drama Romance
10395,Wolf,Fantasy
12160,Wyatt Earp,Drama Action Western
40480,Bad Company,Action Crime Romance Thriller
52038,A Man of No Importance,Comedy Drama
29444,S.F.W.,Comedy Drama
26352,A Low Down Dirty Shame,Action Comedy Crime
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",Drama
41580,Le colonel Chabert,Drama
315,"Faster, Pussycat! Kill! Kill!",Action Crime
22067,Jason's Lyric,Crime Drama Romance
18242,The Secret Adventures of Tom Thumb,Animation
11667,Street Fighter,Action Adventure Thriller
32502,Coldblooded,Action Comedy
267188,Desert Winds,
28732,Fall Time,Action Adventure Crime Drama Thriller
75555,The Fear,Horror Thriller
42981,Frank and Ollie,Documentary
278939,Girl in the Cadillac,Romance Adventure Crime Drama
291731,Homage,Thriller Drama
226229,Mirage,Action Thriller
203119,Open Season,Comedy
172923,Dos Crímenes,
316098,Brother Minister: The Assassination of Malcolm X,Documentary
8011,Highlander III: The Sorcerer,Action Fantasy
171857,Federal Hill,
2654,In the Mouth of Madness,Horror Mystery Thriller
18069,8 Seconds,Drama Romance
19092,Above the Rim,Crime Drama
2758,Addams Family Values,Comedy Family Fantasy
38129,Martin Lawrence: You So Crazy,Comedy
10436,The Age of Innocence,Drama Romance
13595,Airheads,Comedy Crime Music
46094,The Air Up There,Comedy Family
9409,Another Stakeout,Action Comedy
11853,Bad Girls,Action Adventure Comedy Drama Western
16771,Barcelona,Comedy Drama Romance
46924,Being Human,Drama Comedy Fantasy
11041,The Beverly Hillbillies,Comedy
306,Beverly Hills Cop III,Action Comedy Crime
14522,Black Beauty,Action Adventure Drama Family
26203,Blink,Mystery Crime Drama Thriller
178,Blown Away,Drama Action Thriller
19819,Blue Chips,Drama
57834,Blue Sky,Drama Romance
4722,Body Snatchers,Horror Thriller
18215,Boxing Helena,Drama Romance
1607,A Bronx Tale,Drama Crime
26391,Cabin Boy,Comedy
117553,Calendar Girl,Drama Comedy
6075,Carlito's Way,Action Crime Drama Thriller
11310,City Slickers II: The Legend of Curly's Gold,Action Comedy Drama Western
18658,Clean Slate,Comedy Thriller Mystery
9350,Cliffhanger,Action Adventure Thriller
9612,Coneheads,Comedy Family
2124,Color of Night,Drama Mystery Romance Thriller
26261,Cops & Robbersons,Action Comedy Family
19176,The Cowboy Way,Western Action Comedy
49299,Dangerous Game,Drama
11566,Dave,Comedy
9571,Dazed and Confused,Comedy Drama
9739,Demolition Man,Crime Action
24257,The Endless Summer 2,Documentary
34444,Even Cowgirls Get the Blues,Western Drama Comedy Romance
26141,Fatal Instinct,Comedy
10997,霸王别姬,Drama
50463,The Favor,Drama Comedy Romance
10443,Fearless,Drama
20239,Fear of a Black Hat,Comedy
16297,With Honors,Comedy Drama
18551,Flesh and Bone,Drama Mystery Romance
25440,Widows' Peak,Comedy Thriller Mystery Romance Foreign
9024,For Love or Money,Comedy Romance
37233,The Firm,Drama Mystery Thriller
1634,Free Willy,Family Adventure
13815,Fresh,Crime Drama Thriller
5503,The Fugitive,Adventure Action Thriller Crime Mystery
35588,Geronimo: An American Legend,History Action Drama Western
2087,The Getaway,Drama Action Thriller
41579,Getting Even with Dad,Family Comedy Crime
18620,Go Fish,Drama Romance
41006,A Good Man in Africa,Comedy Drama
4916,Guilty as Sin,Drama Thriller
2019,Hard Target,Action Adventure Crime Thriller
31642,Heaven & Earth,History War Action Drama
9255,Hot Shots! Part Deux,Action Comedy War
26271,Live Nude Girls,Comedy
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,Drama Comedy Romance
2259,The House of the Spirits,Romance Drama
16097,House Party 3,Comedy
11934,The Hudsucker Proxy,Comedy Drama
106143,I'll Do Anything,Comedy Drama
12475,In the Army Now,Comedy
9386,In the Line of Fire,Action Drama Thriller Crime Mystery
7984,In the Name of the Father,Drama
59930,The Inkwell,Comedy Drama Romance
15765,What's Love Got to Do with It,Drama Music
31643,Jimmy Hollywood,Comedy
6,Judgment Night,Action Thriller Crime
329,Jurassic Park,Adventure
10909,Kalifornia,Thriller Crime
507,Killing Zoe,Action Crime Drama Thriller
34024,King of the Hill,Drama
29918,Lassie,Action Adventure Drama Family
9593,Last Action Hero,Adventure Fantasy Action Comedy Family
42580,Life With Mikey,Comedy Family
22317,Lightning Jack,Action Comedy Western
1413,M. Butterfly,Drama Romance
12121,Made in America,Comedy
2246,Malice,Drama Crime
10502,The Man without a Face,Drama
10440,Manhattan Murder Mystery,Comedy Mystery
9516,Menace II Society,Drama Action Crime
2320,Executive Decision,Action Adventure Drama Thriller
5879,愛のコリーダ,Drama Romance
83718,What Happened Was...,Thriller Comedy Drama Romance
11971,Much Ado About Nothing,Drama Comedy Romance
2625,Mr. Jones,Drama Romance
31911,Mr. Wonderful,Comedy Romance
788,Mrs. Doubtfire,Comedy Drama Family
21450,Naked,Comedy Drama
11231,The Next Karate Kid,Adventure
41588,The New Age,Comedy Drama
10447,No Escape,Action Drama Thriller
31586,North,Comedy Drama Family Fantasy
9300,Orlando,Romance Drama Fantasy
9559,A Perfect World,Crime Drama Thriller
9800,Philadelphia,Drama
713,The Piano,Drama Romance
8291,Poetic Justice,Drama Romance
18133,The Program,Drama
25557,The Puppet Masters,Horror Thriller
22588,Radioland Murders,Comedy Crime Drama Music Mystery Romance
10872,The Ref,Comedy
1245,The Remains of the Day,Drama Romance
11858,Renaissance Man,Comedy War
7007,Rising Sun,Action Drama Thriller
10467,The Road to Wellville,Comedy Romance
5550,RoboCop 3,Action Adventure Crime Thriller
8005,Robin Hood: Men in Tights,Comedy
2088,Romeo Is Bleeding,Action Crime Drama Thriller
10412,Romper Stomper,Action Drama Thriller
47889,Ruby in Paradise,Drama Romance
14534,Rudy,Drama
56583,The Saint of Fort Washington,Drama
41878,Les Nuits Fauves,Drama
424,Schindler's List,Drama History War
35233,The Scout,Comedy Drama
14291,Searching for Bobby Fischer,Drama
103413,Second Best,Drama
11236,The Secret Garden,Drama Family Fantasy
11592,Serial Mom,Comedy Crime Horror Thriller
8850,The Shadow,Adventure Fantasy Action Thriller
10445,Shadowlands,Drama Romance
695,Short Cuts,Comedy Drama
43535,A Simple Twist of Fate,Drama Family
12519,Sirens,Comedy Drama
23210,Six Degrees of Separation,Mystery Drama Comedy
858,Sleepless in Seattle,Comedy Drama Romance
867,Sliver,Drama Thriller
78,Blade Runner,Drama Thriller
13203,Son in Law,Comedy Drama Romance
10442,So I Married an Axe Murderer,Comedy Crime Romance
11074,Striking Distance,Crime Action Mystery Thriller
33367,Harem,History Drama Romance
9607,Super Mario Bros.,Adventure Comedy Family Fantasy
17585,Surviving the Game,Action Adventure Thriller Crime
9057,Terminal Velocity,Action Thriller
20967,Thirty Two Short Films About Glenn Gould,Drama Music
10635,Threesome,Comedy Drama Family Romance
9479,The Nightmare Before Christmas,Fantasy Animation Family
10057,The Three Musketeers,Action Adventure Comedy
11969,Tombstone,Action Adventure Drama History Western
41590,Trial by Jury,Drama Action Thriller
319,True Romance,Action Thriller Crime Romance
26408,The War Room,Documentary History
15139,The Pagemaster,Fantasy Family Animation
161158,"Paris, France",Drama Comedy
218473,"The Beans of Egypt, Maine",
85247,Killer,Thriller Drama Romance
11446,Welcome to the Dollhouse,Comedy Drama
51980,Germinal,Drama Romance
24405,Chasers,Comedy Romance
11655,Cronos,Drama Horror Thriller
11800,Naked in New York,Comedy Romance
8223,Kika,Comedy Drama
14587,Bhaji on the Beach,Comedy Drama
31504,Little Big League,Comedy Family
41653,Kådisbellan,Drama
53185,Wide Eyed and Legless,Drama Romance Comedy
95743,Foreign Student,Drama Romance
23637,Io speriamo che me la cavo,Comedy Foreign
17600,Spanking the Monkey,Comedy Drama
10897,The Little Rascals,Romance Comedy Family
349394,À la mode,Comedy
21352,Andre,Drama Family Adventure
68806,La scorta,Thriller Crime Drama
37345,Princess Caraboo,Comedy Drama History Mystery
32562,The Celluloid Closet,History Documentary
47507,Métisse,Drama Comedy Romance Foreign
25403,Caro diario,Comedy Drama
124304,De eso no se habla,Romance Drama
9066,The Brady Bunch Movie,Comedy
771,Home Alone,Comedy Family
251,Ghost,Fantasy Drama Thriller Mystery Romance
812,Aladdin,Animation Family Comedy Adventure Fantasy Romance
280,Terminator 2: Judgment Day,Action Thriller
581,Dances with Wolves,Adventure Drama Western
80350,Tough and Deadly,Thriller Action Drama
268,Batman,Fantasy Action
274,The Silence of the Lambs,Crime Drama Thriller
408,Snow White and the Seven Dwarfs,Fantasy Animation Family
10020,Beauty and the Beast,Romance Family Animation Fantasy Music
10895,Pinocchio,Animation Family
114,Pretty Woman,Romance Comedy
41043,Окно в Париж,Comedy Drama Fantasy
576,The Wild Bunch,Adventure Western
15477,Love and a .45,Crime Thriller
59146,The Wooden Man's Bride,Drama Foreign Romance
124472,A Great Day in Harlem,
30528,Bye Bye Love,Comedy Romance
7300,One Fine Day,Comedy Romance
10824,Candyman: Farewell to the Flesh,Horror
261246,Century,Romance Drama
275,Fargo,Crime Drama Thriller
25059,Homeward Bound II: Lost in San Francisco,Adventure Comedy Drama Family
11827,Heavy Metal,Animation
8766,Hellraiser: Bloodline,Horror Thriller
23570,The Pallbearer,Comedy Romance
47333,Jane Eyre,Drama Romance
54850,Loaded,Drama Mystery Thriller
51242,Pane e cioccolata,Comedy Foreign
10112,The Aristocats,Animation Comedy Family Adventure
4307,La flor de mi secreto,Drama Romance
46029,Two Much,Comedy Romance
32308,Ed,Comedy Family
88893,Schrei aus Stein,Adventure Drama Documentary
52873,Ma saison préférée,Drama
123505,A Modern Affair,
340210,Condition Red,Thriller Action Drama
44281,Asfour Stah,Comedy Drama
28121,A Thin Line Between Love and Hate,Comedy Thriller Crime Romance
12520,The Last Supper,Comedy Thriller Crime Drama
1592,Primal Fear,Crime Drama Mystery Thriller
166901,Rude,
36447,Carried Away,Drama Romance
19042,All Dogs Go to Heaven 2,Romance Animation Family Adventure Fantasy
38884,Land and Freedom,Drama History War Romance
47449,Denise Calls Up,Comedy
36259,Theodore Rex,Fantasy Family
41852,A Family Thing,Comedy Drama
40926,Frisk,Drama Thriller
9099,Sgt. Bilko,Comedy Family
2021,Jack & Sarah,Comedy Drama Romance
61752,Girl 6,Comedy
10988,Diabolique,Drama Horror Mystery Thriller
11479,Un indien dans la ville,Adventure Drama Comedy Family
398959,Roula - Dunkle Geheimnisse,Romance Drama
287305,Peanuts – Die Bank zahlt alles,Comedy
339428,Happy Weekend,Comedy
12652,Nelly & Monsieur Arnaud,Drama Romance
10684,Courage Under Fire,Drama Thriller Mystery War
954,Mission: Impossible,Adventure Action Thriller
68445,Á köldum klaka,Drama Comedy
18989,Moll Flanders,Drama Romance
10801,Das Superweib,Comedy
54285,삼공일 삼공이,Horror Mystery Thriller
8840,DragonHeart,Fantasy
278978,Und keiner weint mir nach,Drama
124625,My Mother's Courage,Drama
11107,Eddie,Action Comedy
16417,Yankee Zulu,Drama Comedy
70934,Billy's Holiday,
10363,Plein soleil,Crime Drama Thriller
161070,August,Romance Comedy Drama
10539,James and the Giant Peach,Adventure Animation Family
10543,Fear,Drama Thriller Romance
18414,Kids in the Hall: Brain Candy,Comedy
47502,Faithful,Comedy Crime Drama
11902,Podzemlje,War Drama Comedy
27098,Lust och fägring stor,War Drama Romance
25087,Bloodsport II,Action Thriller
5801,পথের পাঁচালী,Drama
896,অপুর সংসার,Drama
3065,Mystery Science Theater 3000: The Movie,Comedy
318177,Tarantella,
2300,Space Jam,Animation Comedy Drama Family Fantasy
8069,Barbarella,
288173,Hostile Intentions,Thriller Action Drama
187851,They Bite,Comedy Horror
27768,Some Folks Call It a Sling Blade,Drama Thriller
221917,The Run of the Country,Drama Romance
8072,"Alphaville, une étrange aventure de Lemmy Caution",Drama Mystery
35797,Coup de torchon,Drama
88030,Tigrero: A Film That Was Never Made,Documentary Foreign
185191,L'oeil de Vichy,
83857,Windows,Horror Drama Thriller
33245,It's My Party,Drama
124460,Country Life,Drama Romance
27281,Operation Dumbo Drop,Action Adventure Comedy Family
105045,Das Versprechen,Drama Romance
40001,Mrs. Winterbourne,Comedy Romance Drama
29621,Solo,Action Adventure Thriller
117730,Etz Hadomim Tafus,Drama Foreign
20762,The Substitute,Action Thriller
37144,True Crime,Crime Mystery Thriller
48260,Butterfly Kiss,Crime Drama Romance Thriller
12656,Feeling Minnesota,Action Comedy Drama Thriller
38867,Delta of Venus,Drama Romance
277270,To Cross the Rubicon,
25969,Angus,Comedy Drama Family Romance
44103,Daens,Drama History
753,Faces,Drama
43634,Boys,Romance Drama Mystery
9103,The Quest,Action Adventure
90214,Cosi,Comedy Romance
29649,Sunset Park,Drama
10990,Mulholland Falls,Drama Mystery Thriller
8866,The Truth About Cats & Dogs,Comedy Romance
12233,Oliver & Company,Animation Comedy Family
23449,Celtic Pride,Comedy
36355,Flipper,Adventure Family
37667,Captives,Drama Thriller Mystery Romance
90148,Of Love and Shadows,Drama
